table_id,reference_list
1,"1. Matthews et al. (1975); 2. Buntyn et al. (2017); 3. Garrett et al. (1968); 4. DiCostanzo et al. (1991); 5. Velazco et al. (1997); 6. Andrew et al. (1994); 7. Robelin et al. (1981); 8. De Paula et al. (2013); 9. Fernandez et al. (1996); 10. Fonseca et al. (2017); 11. Sainz et al. (1995); 12. Keane (2011); 13. Hansard et al. (1953); 14. Terry et al. (1990); 15. Larsen et al. (2017); 16. Rumsey et al. (1996); 17. Long et al. (2010); 18. Rotta et al. (2015); 19. McCurdy et al. (2010); 20. Hansard (1956); 21. Swett et al.  (1933); 22. Faulkner et al. (1989); 23. Sharman et al. (2013); 24. Remling et al. (2017); 25. Sprinkle et al. (1998); 26. Schumann et al., (2007); 27. Mader et al. (2009); 28. Fitzsimons et al. (2014); 29. Jenkins and Ferrell, (1997); 30. Wood et al. (2013); 31. Scheaffer et al. (2001); 32. Early et al. (1990); 33. Schlegel et al. (2006); 34. Olivares et al. (2019); 35. McEvoy et al. (1998); 36. Fiems et al. (1993); 37. Long et al. (2012); 38. Talton et al. (2014); 39. Murphy and Loerch (1994); 40. Bourg et al. 2012 (2012); 41. Sainz and Bentley (1997); 42. Burciaga-Robles et al. (2010); 43. Moseley et al. (1992); 44. Lawler et al. (2004); 45. Robertson et al. (1967); 46. Shahin and Berg, (1985a); 47. Weisgold and Almquist (1979); 48. Unruh et al. (1986); 49. Killian and Amann, (1972)."
2,"1. Matthews et al. (1975); 2. Buntyn et al. (2017); 3. Garrett et al. (1968); 4. DiCostanzo et al. (1991); 5. Velazco et al. (1997); 6. Andrew et al. (1994); 7. Robelin et al. (1981); 8. De Paula et al. (2013); 9. Fernandez et al. (1996); 10. Fonseca et al. (2017); 11. Sainz et al. (1995); 12. Keane (2011); 13. Hansard et al. (1953); 14. Terry et al. (1990); 15. Larsen et al. (2017); 16. Rumsey et al. (1996); 17. Long et al. (2010); 18. Rotta et al. (2015); 19. McCurdy et al. (2010); 20. Hansard (1956); 21. Swett et al.  (1933); 22. Faulkner et al. (1989); 23. Sharman et al. (2013); 24. Remling et al. (2017); 25. Sprinkle et al. (1998); 26. Schumann et al., (2007); 27. Mader et al. (2009); 28. Fitzsimons et al. (2014); 29. Jenkins and Ferrell, (1997); 30. Wood et al. (2013); 31. Scheaffer et al. (2001); 32. Early et al. (1990); 33. Schlegel et al. (2006); 34. Olivares et al. (2019); 35. McEvoy et al. (1998); 36. Fiems et al. (1993); 37. Long et al. (2012); 38. Talton et al. (2014); 39. Murphy and Loerch (1994); 40. Bourg et al. 2012 (2012); 41. Sainz and Bentley (1997); 42. Burciaga-Robles et al. (2010); 43. Moseley et al. (1992); 44. Lawler et al. (2004); 45. Robertson et al. (1967); 46. Shahin and Berg, (1985a); 47. Weisgold and Almquist (1979); 48. Unruh et al. (1986); 49. Killian and Amann, (1972). "
3,"1. Matthews et al. (1975); 2. Andrew et al. (1994); 3. Reynolds et al. (2004); 4. Larsen et al. (2017); 5. Rotta et al. (2015); 6. Scheaffer et al. (2001); 7. Smith and Baldwin, (1974); 8. Harrison et al. (1983); 9. Swanson and Poffenbarger, (1979); 10. Rotta et al. (2015), 11. Segerson et al. (1984); 12. Ireland et al. (1979); 13. Freetly et al. (2014). "
4,"Andrew et al. (1994) and Matthews et al. (1975)"
5,"DiCostanzo et al. (1991), Early et al. (1990), Hansard et al. (1953), Jenkins and Ferrell (1997), Keane (2011), Shahin and Berg (1985a), and Sharman et al. (2013)"
6,"Bourg et al., 2012; De Paula et al., 2013; DiCostanzo et al., 1991; Early et al., 1990; Faulkner et al., 1989; Fernandez et al., 1996; Fiems et al., 1993; Fitzsimons et al., 2014; Fonseca et al., 2017; Garrett et al., 1968; Jenkins & Ferrell, 1997; Long et al., 2010; Long et al., 2012; McEvoy et al., 1998; Moloney, Allen, Ross, Olson, & Convey, 1990; Moseley et al., 1992; Murphy & Loerch, 1994; Olivares et al., 2019; Remling et al., 2017; Robelin, 1981; Robertson et al., 1967; Rumsey et al., 1996; Sainz & Bentley, 1997; Sainz et al., 1995; Schlegel et al., 2006; Shahin & Berg, 1985b; Sprinkle et al., 1998; Swanson & Poffenbarger, 1979; Swett et al., 1933; Talton et al., 2014; Terry et al., 1990; Velazco et al., 1997; Wood et al., 2013"
7,"1. Sanglid et al. (2000); 2. Santos et al. (2013); 3. Morgan et al. (1969); 4. Gill et al. (1987); 5. Waldern et al. (1963); 6. Hansard et al. (1953); 7. Hansard (1956); 8. Rhodes et al. (1991); 9. Conard et al. (1958); 10. Mader et al. (2009); 11. Lineweaver and Hafez (1969); 12. Taylor-Edwards et al. (2011); 13. Cozzi et al. (2002); 14. Kristensen et al. (2007); 15. Khan et al. (2011); 16. Martin et al. (2010); 17. Stabel et al. (1993); 18. Williams et al. (1987); 19. Manohar et al. (1982); 20. Fernandez et al. (1996); 21. Biolatti et al. (2005); 22. Settlemire et al. (1964)."
9,"1. Kerr et al. (2003); 2. Wise et al. (1993); 3. Stahly and Cromwell (1979); 4. Doornebal et al. (1986); 5. Hood and Allen (1977); 6. Quinious and Noblet (1995); 7. O'Hea and Leveille (1969); 8. Ruusunen et al. (2007); 9 Shelton et al. (2004); 10. Hansard (1956); 11. Wiseman et al. (2007); 12. Johnson et al. (2015); 13. Mitchell et al. (2001); 14. Tranquilli et al. (1982); 15. Phuc and Hieu (1993); 16. Agyekum et al. (2012); 17. Kaensombath (2013); 18. Miller and Ullrey  (1987); 19. Pond et al. (1989); 20. Velayudhan et al. (2017); 21. Chen et al. (1999); 22. Chen et al. (1995);  23. Cliplef and McKay (1993); 24. Critser et al. (1995); 25. Kaensombath and Lindberg (2012); 26. Pond et al. (1988); 27. Koong et al. (1982); 28. Koong et al. (1983); 29. Yen et al. (1991); 30. Adeola and King  (2006); 31. Moughan et al. (1990); 32. Cera et al. (1988); 33. Jin et al. (1994); 34. Anugwa et al. (1989); 35. Lee and Woyengo (2018); 36. Rehfeldt et al. (2008); 37. Smit and Beltranena (2017); 38. Chiba (1994); 39. Boleman et al. (1995); 40. Owen et al. (2001); 41. Wang et al. (2011); 42. Brudevold and Southern (1994); 43. Weaver et al. (2013); 44. Ludeen et al. (1983); 45. Tischendorf et al. (2002); 46. Schone et al. (1996); 47. Owsley et al. (1986)."
10,"1. Kerr et al. (2003); 2. Wise et al. (1993); 3. Hood and Allen (1977); 4. Quinious and Noblet (1995); 5. O'Hea and Leveille (1969); 6. Ruusunen et al. (2007); 7. Wiseman et al. (2007); 8. Kaensombath (2013); 9. Pond et al. (1989); 10. Chen et al. (1999); 11. Critser et al. (1995); 12. Kaensombath and Lindberg (2012); 13 Pond et al. (1988); 14. Koong et al. (1982); 15. Koong et al. (1983); 16. Moughan et al. (1990); 17. Anugwa et al. (1989); 18. Boleman et al. (1995); 19. Chiba (1994); 20. Cliplef and McKay (1993); 21. Jin et al. (1994); 22. Owsley et al. (1986)"
11,"1. Wise et al. (1993); 2. Quinious and Noblet (1995); 3. Ruusunen et al. (2007); 4. Wiseman et al. (2007); 5.  Moughan et al. (1990); 6. Chen et al. (1999)."
12,"1. Wise et al. (1993); 2. Stahly and Cromwell (1979); 3. Hood and Allen (1977); 4. Quinious and Noblet (1995); 5. Ruusunen et al. (2007); 6. Shelton et al. (2004); 7. Wiseman et al. (2007); 8. . Johnson et al. (2015); 9. Kaensombath (2013); 10. Miller and Ullrey  (1987); 11. Pond et al. (1989); 12. Chen et al. (1999); 13. Chen et al. (1995); 14. Cliplef and McKay (1993); 15. Critser et al. (1995); 16. Pond et al. (1988); 17. Yen et al. (1991); 18. Phuc and Hieu (1993); 19. Moughan et al. (1990); 20. Anugwa et al. (1989); 21. Rehfeldt et al. (2008); 22. Boleman et al. (1995); 23. Owen et al. (2001); 24. Chiba (1994); 25. Tischendorf et al. (2002); 26. Schone et al. (1996)"
13,"Davis et al., 1988; Doyle et al., 1960; Huntington et al., 1990; Nienaber et al., 1993; Weir et al., 1974; Whittow, 1965"
16,"1. Amory et al. (1993); 2. Weber et al. (1971); 3. Will et al. (1978); 4. Busch et al. (1985); 5. Huntington et al. (1989); 6. Stowe and Good (1960); 7. Waldern et al. (1963); 8. Neuwirth et al. (1979); 9. Amory et al. (1995); 10. Manohar et al. (1982); 11. Weber et al (1972)."
17,"Duncker et al., 1997; Hannon et al., 1990; Lundeen et al., 1983; Manohar & Parks, 1984; Tranquilli et al., 1982; van Woerkens et al., 1990; van Woerkens et al., 1992"
19,"1. Eisemann et al. (1987); 2. Eisemann et al. (1988); 3. Reynolds et al. (1991a)  ; 4. Delaquis and Block (1995); 5. Deetz et al. (1982); 6. Reynolds et al. (1991b) ; 7. Huntington et al. (1990); 8. Rojen et al. (2011); 9. Lescoat et al. (1996); 10. Ellis et al. (2016); 11. Huntington et al. (1989); 12. Whitt et al. (1996); 13. Reynolds and Huntington (1988); 14. Ford et al. (1979); 15. Ford and Chenault (1981); 16. Rawy et al. (2018); 17. Barros Adwell et al. (2018)."
21,"1. Eisemann et al. (1987); 2. Eisemann et al. (1988); 3. Reynolds et al. (1991a); 4. Deetz et al. (1982); 5. Reynolds et al. (1991b); 6. Huntington et al. (1990); 7. Lescoat et al. (1996); 8. Ellis et al. (2016); 9. Huntington et al. (1989); 10. Whitt et al. (1996); 11. Reynolds and Huntington (1988); 12. Barros Adwell et al. (2018)."
23,"1. Delaquis and Block (1995); 2. Rojen et al. (2011); 3. Ellis et al. (2016); 4. Lescoat et al. (1996); 5. Davis et al. (1988); 6. Ford et al. (1979); 7. Ford and Chenault (1981); 8. Rawy et al. (2018)."
24,"1. Conard et al. (1958); 2. Manohar et al. (1981); 3. Manohar et al. (1982); 4. Reynolds et al. (1991a); 5. Wanner et al. (1981); 6. Ortigues et al. (1995); 7. Durand et al. (1984); 8. McGilliard et al. (1971); 9. Fries and Conner (1961); 10. Huntington et al. (1989); 11. Harmon and Avery (1987); 12. Wangsness and McGilliard (1972); 13. Huntington and Prior (1983); 14. Huntington et al. (1989); 15. Carr and Jacobson (1968); 16. Durand et al. (1988); 17. Rudolph and Yuan (1966)."
28,"1. Tranquilli et al. (1982); 2. Duncker et al. (1997); 3. van Woerkens et al. (1990); 4. Manohar and Parks (1984); 5. van Woerkens (1992); 6. Lundeen et al. (1983); 7. Hannon et al. (1990); 8. Yen et al. (1989); 9. O'Connor et al. (1992); 10. Yen and Killefer (1987)"
29,"Hansard (1956)"
30,"Hansard (1956)"
31,"Hansard (1956)"
33,"Hansard (1956)"
34,"Braun, Camenzind, & Ossent, 2003; Doyle et al., 1960; Lawrence, Kenny, Earley, Crews, & McGee, 2011; Nascimento et al., 2015; Rojen et al., 2011; Weir et al., 1974"
35,"Bisgard, Ruiz, Grover, & Will, 1974; Fasules, Tryka, Chipman, & Van Devanter, 1994; Manohar et al., 1982; Reeves & Leathers, 1964a, 1964b; Reynolds et al., 1991b; Will et al., 1978"
36,"Brudevold & Southern, 1994; DeGoey, Wahlstrom, & Emerick, 1971; Gowanlock, Mahan, Jolliff, Moeller, & Hill, 2013; Groce et al., 1973; Honeyfield, Froseth, & Barke, 1985; Hyun, Ellis, Curtis, & Johnson, 2005; Russett, Krider, Cline, & Underwood, 1979; Shelton et al., 2004; Veum, Ledoux, Shannon, & Raboy, 2009; Weaver et al., 2013"
